[package] count=1 itemid=20100520 itemtype=equipment userid=619 source=complete_quest time=2013-04-08_18:08:46.686307
[package] count=1 itemid=30400110 itemtype=equipment source=read_msg type=get time=2013-04-08_18:45:45.885306 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:45:45.887336 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:45:45.889208 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:45:45.891011 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:45:45.893621 userid=1265
[package] count=1 itemid=30400310 itemtype=equipment source=read_msg type=get time=2013-04-08_18:45:45.897198 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:45:45.899143 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:45:45.901024 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:45:45.903109 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:45:45.905100 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:46:02.382693 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:46:02.384757 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:46:02.386574 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:46:02.388406 userid=1265
[package] count=1 itemid=30400820 itemtype=equipment source=read_msg type=get time=2013-04-08_18:46:02.391847 userid=1265
[package] count=1 itemid=30400110 itemtype=equipment source=read_msg type=get time=2013-04-08_18:46:02.395089 userid=1265
[package] count=1 itemid=30400610 itemtype=equipment source=read_msg type=get time=2013-04-08_18:46:02.398323 userid=1265
[package] count=1 itemid=8003 itemtype=material source=read_msg type=get time=2013-04-08_18:46:02.400232 userid=1265
[package] count=1 itemid=30400420 itemtype=equipment source=read_msg type=get time=2013-04-08_18:46:02.403590 userid=1265
[package] count=1 itemid=30400620 itemtype=equipment source=read_msg type=get time=2013-04-08_18:46:02.407068 userid=1265
