[profile_attr] old_data=48937 delta_type=1 attr=hp delta_data=3947 userid=966 source=dump_data time=2013-04-03_16:05:40.276772
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=889 source=dump_data time=2013-04-03_16:06:21.155564
[profile_attr] old_data=8468709 delta_type=1 attr=gold delta_data=243000 userid=889 source=dump_data time=2013-04-03_16:08:08.945893
[profile_attr] old_data=1 delta_type=1 attr=mount_status delta_data=-1 userid=889 source=dump_data time=2013-04-03_16:09:28.913427
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=889 source=dump_data time=2013-04-03_16:13:22.485383
[profile_attr] old_data=8711709 delta_type=1 attr=gold delta_data=5000 userid=889 source=dump_data time=2013-04-03_16:16:08.039199
[profile_attr] old_data=4078642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=shortcut_start time=2013-04-03_16:18:32.494150
[profile_attr] old_data=4076642 delta_type=0 attr=gold delta_data=4000 userid=1318 source=shortcut_start time=2013-04-03_16:18:32.507878
[profile_attr] old_data=4072642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=shortcut_start time=2013-04-03_16:18:32.514926
[profile_attr] old_data=4070642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=shortcut_start time=2013-04-03_16:18:32.523370
[profile_attr] old_data=4068642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=shortcut_start time=2013-04-03_16:18:32.531811
[profile_attr] old_data=4066642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=shortcut_start time=2013-04-03_16:18:32.540457
[profile_attr] old_data=4064642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=shortcut_start time=2013-04-03_16:18:32.548683
[profile_attr] old_data=4062642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=shortcut_start time=2013-04-03_16:18:33.917129
[profile_attr] old_data=4060642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=start time=2013-04-03_16:18:36.889145
[profile_attr] old_data=4058642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=start time=2013-04-03_16:18:38.206268
[profile_attr] old_data=4056642 delta_type=1 attr=gold delta_data=1000 userid=1318 source=shortcut_sell time=2013-04-03_16:18:39.717938
[profile_attr] old_data=4057642 delta_type=1 attr=gold delta_data=1000 userid=1318 source=shortcut_sell time=2013-04-03_16:18:39.718071
[profile_attr] old_data=4058642 delta_type=1 attr=gold delta_data=1000 userid=1318 source=shortcut_sell time=2013-04-03_16:18:39.718154
[profile_attr] old_data=4059642 delta_type=1 attr=gold delta_data=1000 userid=1318 source=shortcut_sell time=2013-04-03_16:18:39.718233
[profile_attr] old_data=4060642 delta_type=1 attr=gold delta_data=1000 userid=1318 source=shortcut_sell time=2013-04-03_16:18:39.718309
[profile_attr] old_data=4061642 delta_type=1 attr=gold delta_data=1000 userid=1318 source=shortcut_sell time=2013-04-03_16:18:39.718385
[profile_attr] old_data=1 delta_type=1 attr=mount_status delta_data=-1 userid=889 source=dump_data time=2013-04-03_16:27:40.559009
[profile_attr] old_data=4062642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=start time=2013-04-03_16:32:52.575612
[profile_attr] old_data=4060642 delta_type=0 attr=gold delta_data=2000 userid=1318 source=start time=2013-04-03_16:32:53.587649
[profile_attr] old_data=4058642 delta_type=0 attr=gold delta_data=4000 userid=1318 source=shortcut_start time=2013-04-03_16:32:54.957247
[profile_attr] old_data=4054642 delta_type=0 attr=gold delta_data=6000 userid=1318 source=shortcut_start time=2013-04-03_16:32:54.965964
[profile_attr] old_data=4048642 delta_type=0 attr=gold delta_data=4000 userid=1318 source=shortcut_start time=2013-04-03_16:32:54.974703
[profile_attr] old_data=4044642 delta_type=0 attr=gold delta_data=6000 userid=1318 source=shortcut_start time=2013-04-03_16:32:54.982427
[profile_attr] old_data=4038642 delta_type=1 attr=gold delta_data=1000 userid=1318 source=shortcut_sell time=2013-04-03_16:32:56.976064
[profile_attr] old_data=4039642 delta_type=0 attr=gold delta_data=8000 userid=1318 source=start time=2013-04-03_16:33:07.592791
[profile_attr] old_data=4031642 delta_type=0 attr=gold delta_data=6000 userid=1318 source=start time=2013-04-03_16:33:08.452580
[profile_attr] old_data=95499 delta_type=0 attr=attr_1 delta_data=12600.0 userid=1318 source=upgrade time=2013-04-03_16:33:27.977919
[profile_attr] old_data=82899 delta_type=0 attr=attr_1 delta_data=16900.0 userid=1318 source=upgrade time=2013-04-03_16:33:30.043564
[profile_attr] old_data=65999 delta_type=0 attr=attr_1 delta_data=21600.0 userid=1318 source=upgrade time=2013-04-03_16:33:31.042142
[profile_attr] old_data=44399 delta_type=0 attr=attr_1 delta_data=26700.0 userid=1318 source=upgrade time=2013-04-03_16:33:32.000531
[profile_attr] old_data=4025642 delta_type=0 attr=gold delta_data=7644 userid=1318 source=enhance time=2013-04-03_16:33:40.722294
[profile_attr] old_data=4017998 delta_type=0 attr=gold delta_data=7644 userid=1318 source=enhance time=2013-04-03_16:33:43.321985
[profile_attr] old_data=4010354 delta_type=0 attr=gold delta_data=7644 userid=1318 source=enhance time=2013-04-03_16:33:44.632004
[profile_attr] old_data=4002710 delta_type=0 attr=gold delta_data=7644 userid=1318 source=enhance time=2013-04-03_16:33:45.709162
