[profile_attr] old_data=4438495 delta_type=1 attr=gold delta_data=5000 userid=607 source=dump_data time=2013-04-08_13:23:53.894814
[profile_attr] old_data=1520 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:48.702884
[profile_attr] old_data=1519 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:49.654218
[profile_attr] old_data=1518 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:49.987225
[profile_attr] old_data=1517 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:50.452217
[profile_attr] old_data=1516 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:50.805603
[profile_attr] old_data=1515 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:51.219812
[profile_attr] old_data=1514 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:53.269893
[profile_attr] old_data=1513 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:53.636785
[profile_attr] old_data=1512 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:54.002493
[profile_attr] old_data=1511 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:54.368565
[profile_attr] old_data=1510 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:54.719699
[profile_attr] old_data=1509 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:55.070592
[profile_attr] old_data=1508 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:56.703151
[profile_attr] old_data=1507 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:57.052221
[profile_attr] old_data=1506 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:57.451337
[profile_attr] old_data=1505 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:57.769134
[profile_attr] old_data=1504 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:58.185574
[profile_attr] old_data=1503 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:32:58.552261
[profile_attr] old_data=1502 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:33:00.334969
[profile_attr] old_data=1501 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:33:00.734613
[profile_attr] old_data=1500 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:33:01.085228
[profile_attr] old_data=1499 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:33:01.491591
[profile_attr] old_data=1498 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:33:01.853506
[profile_attr] old_data=1497 delta_type=0 attr=attr_2 delta_data=1 userid=1265 source=action_to_profile time=2013-04-08_13:33:02.203790
[profile_attr] old_data=111466017 delta_type=1 attr=gold delta_data=5 userid=1265 source=sell time=2013-04-08_13:34:31.866904
[profile_attr] old_data=111466022 delta_type=1 attr=gold delta_data=20 userid=1265 source=sell time=2013-04-08_13:34:33.034961
[profile_attr] old_data=111466042 delta_type=1 attr=gold delta_data=930 userid=1265 source=sell time=2013-04-08_13:34:53.950135
[profile_attr] old_data=111466972 delta_type=1 attr=gold delta_data=520 userid=1265 source=sell time=2013-04-08_13:34:56.922641
[profile_attr] old_data=111467492 delta_type=1 attr=gold delta_data=700 userid=1265 source=sell time=2013-04-08_13:35:05.233051
[profile_attr] old_data=111468192 delta_type=1 attr=gold delta_data=820 userid=1265 source=sell time=2013-04-08_13:35:06.849661
[profile_attr] old_data=111469012 delta_type=1 attr=gold delta_data=700 userid=1265 source=sell time=2013-04-08_13:35:09.015942
[profile_attr] old_data=111469712 delta_type=1 attr=gold delta_data=80 userid=1265 source=sell time=2013-04-08_13:35:10.648764
[profile_attr] old_data=111469792 delta_type=1 attr=gold delta_data=540 userid=1265 source=sell time=2013-04-08_13:35:19.598416
[profile_attr] old_data=111470332 delta_type=1 attr=gold delta_data=80 userid=1265 source=sell time=2013-04-08_13:35:20.764034
[profile_attr] old_data=111470412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:36:31.513740
[profile_attr] old_data=111468412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:36:35.297411
[profile_attr] old_data=111466412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:36:38.330614
[profile_attr] old_data=111464412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:36:41.447311
[profile_attr] old_data=111462412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:36:47.698159
[profile_attr] old_data=111460412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:36:59.813993
[profile_attr] old_data=111458412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:37:01.329062
[profile_attr] old_data=111456412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:37:02.647777
[profile_attr] old_data=111454412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:37:04.914367
[profile_attr] old_data=111452412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:37:09.797330
